"Job Title","Salary","Location","Job Posted","Job Description"
"Senior Carers - EAD03361","£23,158 - £26,789","Kirkintilloch","25 November","Job Summary This post is only available to all permanent and temporary employees and agency workers currently on assignment within East Dunbartonshire Council. Salary will be pro-rated for pat-time hours..."
"SLA06352 Facilities Assistant (Cleaner) - DFF - SLA06352","£9.32 - £9.32","Hamilton","25 November","Job Description This Post is Fixed Term until 31 March 2020 Shift Pattern: Monday till Saturday 8am till 10.30am Community & Enterprise Resources provide catering and cleaning services in many locations and buildings across..."
"Teacher, Danestone School - ABC06237","£26,697 - £40,206","Aberdeen","25 November","Job Description Before applying for this job, it is important that you read the Applicant Guidance by clicking on this link and the Job Profile attached. These explain the job role and the type of person we're looking for..."
"Janitor/Cleaner (2 Posts) (Part Time) - NLA04796","£17,670 - £18,708","Shotts","25 November","Job Advertisement NLC3 £9.47 - £10.27 per hour Based within Shotts Family Learning Centre, you will provide a janitorial and cleaning service to the establishment and have responsibility for minor maintenance,..."
"Pupil Support Assistant Level 3 (FIF15359) - FIF15359","£22,807 - £25,980","St Andrews","25 November","Job Description Work Pattern: Monday, Wednesday, Thursday and Friday 09.00 am - 15.15 pm - Tuesday 08.30 am - 15.15 pm Work Locations: Cosmos Centre, St Andrews and Madras College Campuses (Kilrymont Road and South Street), St..."
"Teacher - Early Years (FIF15347) - FIF15347","£32,034 - £40,206","Kirkcaldy","25 November","Job Description Interview Date: Monday 16 December 2019 Before applying for this job, it is important that you read the Applicant Guidance by clicking here and the attached Job Pack..."
"Teacher - Home Economics (FIF15360) - FIF15360","£32,034 - £40,206","Leven","25 November","Job Description Interview Date: Week commencing 9 December 2019 Before applying for this job, it is important that you read the Applicant Guidance by clicking hereand the attached Job Pack..."
"Cleaner - DGA04939","£4,479 - £4,479","Moffat","25 November","Advert Cleaner (15/5523) Beattock Primary £4,479.74 You will be required to work 11 Hours per week, 39 Weeks per year Working times to be discussed at interview General cleaning duties include, vacuuming, floor..."
"Early Years Support Assistant - DGA04963","£8,849 - £9,530","Dumfries And Galloway","25 November","Advert Early Years Support Assistant (7/06348) Kelloholm Nursery £8,849.34 - £9,530.36 You will be required to work 18.25 hours per week, 39 weeks per year We wish to recruit an enthusiastic and committed..."
"General Assistant PEF-Primary - DGA04868","£10,181 - £10,619","Castle Douglas","25 November","Advert General Assistant PEF - Primary (Fixed Term) Castle Douglas Primary School £10,181.22 - £10,618.96 We are looking for a General Assistant funded by the Pupil Equity Funding for up to one year for..."
"Nursery Manager - DGA04900","£29,192 - £31,406","Castle Douglas","25 November","Advert Nursery Manager Dalry Primary School Nursery £29,192.74 - £31,406.74 An exciting secondment opportunity has become available for an experienced, dedicated, enthusiastic and highly motivated Nursery..."
"Business Support Assistant (FIF15362) - FIF15362","£9.07 - £9.75","Fife","25 November","Job Description Contract Type: Temporary for 6 months Interview Date: Tuesday 7 January 2020 The job pack for this vacancy is attached at the bottom of the page. It provides more detailed information about the job and the..."
"Mobile Assistant Cook (FIF15330) - FIF15330","£9.07 - £9.07","Glenrothes","25 November","Job Description Working Pattern: 30 hours per week as required on a rota basis Interview Date: Monday 16 December 2019 The job pack for this vacancy is attached at the bottom of the page..."
"SW3673 - Child Care Review Co-ordinator (LAAH & RESPITE) - FLK05757","£40,976 - £44,796","Falkirk (Town)","25 November","Job Advert Applications are invited from qualified and registered Social Workers who are able to take responsibility for the management, development and provision of an effective and efficient Child Care and Child Protection..."
"Childcare Practitioner (FIF15358) - FIF15358","£18,302 - £20,573","Dunfermline","25 November","Job Description Contract Type: Temporary until Friday 18 December 2020 Working Pattern: Monday to Friday 14:45-18:00 - term time Interview Date: Monday 16 December 2019 Before applying for this job, it is important that you..."
"Mortgage And Protection Advisor","£30,000 plus benefits and commission","Glasgow","25 November","Mortgage and Protection Advisor Glasgow Basic salary £30,000 with a very realistic OTE of £50,000 plus Glasgow's top Mortgage Brokerage is seeking a dynamic, sales focused Mortgage Advisor to join their very..."
"Keyworker (Challenging Behaviour) - MOR04439","£21,317 - £23,376","Moray","25 November","Job Description The successful candidate will work with and provide care and support to service users with extreme learning disabilities who exhibit a variety of complex behaviours posing a range of physical and emotional..."
"Practitioner - Early Learning & Childcare - Sound Primary School - SIC03904","£13.81 - £14.38","Shetland Islands","25 November","Advertisement Details Sound Primary School is a non-denominational school located in the Sound area of Lerwick and provides education from nursery to Primary 7. The school structure currently consists of 1 nursery sessions per..."
"Senior Social Care Worker - Assertive Community Transition - SIC03919","£30,113 - £31,348","Shetland Islands","25 November","Advertisement Details The Assertive Community Transition service (ACT) will deliver a local provision of care for people who have learning disabilities and/or complex needs, to develop options for access to direct, flexible..."
"Social Care Worker - North Haven Care Services - SIC03906","£12.4 - £12.91","Shetland Islands","25 November","Advertisement Details The purpose of the job is to actively provide person-centred care in accordance with relevant legislation and guidelines. To attend to the physical, social and emotional needs of the service users in your..."
"Peripatetic Care Manager - Peebles Social Work Office - SBO03790","£34,545 - £37,757","Peebles","25 November","Job Details Grade: 9A Hourly Rate: £18.92 - £20.68 Salary: £34,545.39 - £37,757.38 Pro Rata Per Annum Contract Duration: Permanent Role Purpose An opportunity for a Care manager with professional background..."
"Teacher of English - Eyemouth HS - SBO03787","£26,697 - £40,206","Eyemouth","25 November","Job Details Grade: CS0-5 Salary: £26,697 - £40,206 per annum Contract Duration: Temporary until 30 October 2020 Role Purpose The successful candidate will enable all young people to become successful learners,..."
"Play Assistant, Inchview Wraparound Care, Perth - PKC06166","£7,093 - £7,625","Perth And Kinross","25 November","Job Description Play Assistant (PKC06166) £7,093 - £7,625 (15 hours per week) InchView Wraparound Care, Perth An exciting opportunity has arisen for a Play Assistant to work at Inch View Wraparound Care, after school..."
"Teacher of Home Economics (Aboyne Academy) - ABS20902","£26,697 - £40,206","Aboyne","25 November","Job Description This post can be offered on a full time or part time basis. We are looking for enthusiastic teachers who are committed to excellence and ready to work in a dynamic part of Scotland to deliver quality education..."
"Teacher of Mathematics (Banchory Academy) - ABS20907","£26,697 - £40,206","Banchory","25 November","Job Description Deliver quality education to assigned pupils and contribute, within collegiate ethos, to the professional life of the school in relation to pupils, staff and appropriate external bodies within the agreements of..."
"Teacher of Music (Turriff Academy) - ABS20757","£26,697 - £40,206","Turriff","25 November","Job Description Deliver quality education to assigned pupils and contribute, within collegiate ethos, to the professional life of the school in relation to pupils, staff and appropriate external bodies within the agreements of..."
"Teacher of Primary (Fordyce Primary School) - ABS20906","£26,697 - £40,206","Banff","25 November","Job Description We are looking for enthusiastic teachers who are committed to excellence and ready to work in a dynamic part of Scotland to deliver quality education to assigned pupils and contribute, within collegiate ethos, to..."
"Mortgage Advisor","£36,000 DoE, plus excellent commission structure and benefits","Perth","25 November","Mortgage & Protection Broker OTE £60,000 The client is a leading Scottish Estate Agency firm and due to their continued success and client demand, are seeking to recruit a Mortgage & Protection Advisor for their..."
"Mortgage Broker","Basic starting at £28k OTE year 1 £50k plus benefits","Glasgow","25 November","Mortgage Broker - Office based, Glasgow Employed with uncapped commission Basic starting at £28k OTE year 1 £50k plus benefits An excellent opportunity to be the first Mortgage Adviser in this new branch of..."
"Mortgage Broker","Basic starting at £28k OTE year 1 £50k plus benefits","Edinburgh","25 November","Mortgage Broker - Office based, Edinburgh Employed with uncapped commission Basic starting at £28k OTE year 1 £50k plus benefits An excellent opportunity to be the first Mortgage Adviser in this new branch of..."
"IT Service Delivery Manager","Up to £0.00 per annum + DOE + Attractive benefits package","Edinburgh","25 November","I have a fantastic opportunity to join a leading exploration and production company based in Edinburgh in a newly created Service Delivery Manager position where you will be responsible for managing the delivery of IT Service..."
"Senior Quantity Surveyor","DOE","Stirling","25 November","Would you thrive working in a team who act collaboratively towards the same goal? Do you put teamwork at the heart of everything you do? If that sounds like you, wouldn't it be nice to work with likeminded people! We're seeking a..."
"Site Coordinator","£20000.00 - £23000.00 per annum","Midlothian","25 November","Fantastic opportunity for a site administrator at Engineering firm Your new company A well established engineering organisation in Midlothian is looking to recruit for a new site administrator to provide administrative..."
"Wealth Manager","£50,000 to £60,000 basic OTE £90,000","Aberdeen","25 November","Wealth Manager £50,000 to £60,000 plus bonus and benefits (OTE £80,000 plus) Financial Advisor required by this prominent regional IFA that provides personal advice to HNW individuals including business owners..."
"Independent Financial Advisor","£50,000 to £60,000 basic OTE £90,000","Aberdeen","25 November","Independent Financial Advisor £50,000 to £60,000 plus bonus and benefits (OTE £80,000 plus) Financial Advisor required by this prominent regional IFA that provides personal advice to HNW individuals including..."
"Financial Planning Adviser","£50,000 to £60,000 basic OTE £90,000","Aberdeen","25 November","Financial Planning Adviser £50,000 to £60,000 plus bonus and benefits (OTE £80,000 plus) Financial Planner required by this prominent regional IFA that provides personal advice to HNW individuals including..."
"Sharepoint Consultant","Up to £400 per day","Glasgow","25 November","Glasgow Area - 6 Month Contract - Jan Start - SharePoint Consultant - £400 per day - Inside IR35 We are looking for a ShaRepoint Consultant to offer support and problem solving expertise on all client environments whilst..."
"IFA","£50,000 to £60,000 basic OTE £90,000","Aberdeen","25 November","IFA £50,000 to £60,000 plus bonus and benefits (OTE £80,000 plus) Financial Advisor required by this prominent regional IFA that provides personal advice to HNW individuals including business owners and..."
"Financial Planning Consultant","£50,000 to £60,000 basic OTE £90,000","Aberdeen","25 November","Financial Planning Consultant £50,000 to £60,000 plus bonus and benefits (OTE £80,000 plus) Financial Planner required by this prominent regional IFA that provides personal advice to HNW individuals including..."
"Trainee Technical And Stock Support Assistant","£DOE","Dumfries And Galloway","25 November","Importo is the Import and Export division of a market leading Food Manufacturing group and we have a great opportunity for someone with administration and/or food industry administration experience to join our busy and expanding..."
"IT Trainer","£200 - £230 per day","Paisley","25 November","Harvey Nash's public sector client is recruiting for an IT Trainer on an initial 4 month contract. The organisation are undertaking a significant rollout of Office365 and require two trainers to work with the service management..."
"Procurement Specialist","","Livingston","25 November","Harvey Nash's public sector client is recruiting for a Procurement Specialist on an initial 3 month contract. The team require procurement cover to undertake a scope of procurement tendering projects for the Category Team..."
"Facilities Manager - VR/21104","£Available upon request","Aberdeen","25 November","Opportunity for an experienced Facilities Manager to join a leading oil operator within their Aberdeen office. This 12-month contract role will include line management responsibilities, alongside managing different sites and..."
"Joiner","Competitive hourly rate","Kilmarnock","25 November","Joiner required for long term work in Kilmarnock. Peace Recruitment are working with a busy housing association in Kilmarnock who are looking to add a maintenance joiner to their team..."
"PQ Assistant Accountant","£28000.00 - £32000.00 per annum","Edinburgh","25 November","PQ Assistant Accountant job in Edinburgh paying £28,000-£32,000 (DOE). Your new company Hays is proud to be exclusively working with a locally established and rapidly growing SME based in Edinburgh City Centre..."
"Assistant Accountant","£23000 - £27500 per annum","Edinburgh","25 November","Reed Accountancy are proud to be exclusively engaged in a permanent Assistant Accountant role with one of our growing clients located in Edinburgh. This is an exciting role with a fast paced organisation that are leading the way..."
"Project Manager","","Edinburgh","25 November","Junior Project Manager We have an excellent opportunity for someone who is keen to take that step into Project Management. Working within a small team of Projects Managers you will face off to several departments..."
"Information Security Risk Analyst - Glasgow","£350 - £400 per day","Glasgow","25 November","Harvey Nash's Glasgow based client requires an experienced Information Security Risk Analyst to join them on a contract basis for initially 6 months. The organisation are currently working on a National Microsoft Office 365..."
"Air Conditioning Engineer","£30000.00 - £33000.00 per annum","Aberdeen","25 November","Excellent opportunity for Air Conditioning Engineers wishing to work in Facilities Management. Your new company You will be working for a leading facilities management company who specialise in a wide range of services..."
"Accounts Assistant","£22000.00 - £28000.00 per annum","Stirling","25 November","Accounts Assistant, full-time permanent job, based in Stirling, free onsite parking, £22,000-£28,000 per annum DOE Your new company A leader in their industry, our client have worked on many large and notable..."
"Assistant Finance Manager","£33,588.00 - £38,381.00","Glenrothes","25 November","Fyte are delighted to be partnering with a prominent organisation based in Glenrothes, Fife in their recruitment of an Assistant Finance Manager . The business have over 140 staff, a further 260 support staff an look after 5000..."
"Care Assistant","£Competitive","Glasgow","25 November","HRC Recruitment are currently looking for experienced Care Assistants to work in care & nursing homes in Glasgow and the surrounding area. HRC are a leading care agency working with various clients in the private care home..."
"Infrastructure Analyst","Competitive Salary + excellent bens","Edinburgh","25 November","Lorien are working with our client to help them recruit an Infrastructure Analyst to work out of their Edinburgh operation on a permanent basis. This is an exciting opportunity to join an established organisation to help them..."
"Service Advisor - Stirling Audi","","Stirling","25 November","Service Advisor - Stirling Audi, Lookers Stirling Audi Job ref. req6874 Market leading employee benefits Lookers Audi have an exciting opportunity to join our team as a Service Advisor with an excellent earning potential..."
"Temporary Accounts Receivable Assistant","£12.00 - £13.00 per hour","Glasgow","25 November","Jenson Fisher have been engaged by an established business based in Glasgow City Centre to recruit an Accounts Receivable Assistant on a full-time, Fixed Term Contract for 3 months with possible extension..."
"HR Advisor/Business Partner","£45k + excellent benefits/bonus","Edinburgh","25 November","I am delighted to be working exclusively with my client in recruiting an HR Advisor/ Business Partner to join their established team on a 12 month fixed term contract. The role will be to lead and manage relationships between..."
"Derivatives Specialist","£43,000 - £56,000 D.O.E","Glasgow","25 November","Meraki Talent's industry leading Financial Services client are looking for a Derivatives Specialist This is your chance to join a successful team where hard work is recognised..."
"HR Administrator","Up to £21768 per annum","Edinburgh","25 November","HR Administrator Up to £21,500 DOE - Full Time role based in Leith Permanent role Our client are the most sought after tourism organisation in Scotland, and are currently looking to recruit for an HR Administrator..."
"2nd Line Engineer- Deployment/Packaging-INSIDE IR35","","Dundee","25 November","My client based in Dundee are looking for A 2nd Line Support Analyst with deployment and packaging experience on an initial 3 month contract You will be providing support for users across the organisation, who are currently..."
"Health & Safety Advisor","£32,000 - £36,000","Edinburgh","25 November","Drummond Bridge are delighted to be retained exclusively to appoint the brand new role of Health and Safety Advisor for a Public Sector client in the East of Scotland. A new role has been created for a Health and Safety..."
"Information Security Risk Analyst","£450.00 - £500.00 per day","Edinburgh","25 November","Information Security Risk Analyst - Edinburgh - 6m Initially - £450-£500 DOE Your new company and r ole Our client is a well-known public-sector client based in Edinburgh..."
"Joiner","","Stranraer","25 November","Joiner Required for Dumfries area. Must have CSCS and experience in fitting timber to steel. Rate is £18 ph Contact andy on 0141 272 7802 Search is an equal opportunities recruiter and we welcome applications from all..."
"Graduate Recruitment Consultant","£DOE","Glasgow","25 November","Graduate Recruitment Consultant Glasgow Working in the Recruitment industry is a fantastic career - it's lively and dynamic, where every day you'll make a lasting impact to the lives of professionals looking to..."
"Support Practitioner","£ 18,252 pa","Alford","25 November","Support Practitioner - Alford, Aberdeen Why not join the Richmond Fellowship Scotland, the biggest & best Social Care organisation to work for in Scotland? It`s not just a job but a career and more importantly you will help..."
"Cleaner (Part Time)","8.21 per hour Monday/Wednesday/Friday 16.30 - 19.30 Tuesday and Thursday 15.30 - 19.30","Broxburn","25 November","Spectrum have a fabulous opportunity for that special person who is looking for school friendly, part time hours and to join the team at our Client's Car Show Room, based in East Mains Industrial Estate, Broxburn..."
"Support Practitioner","£ 18,252 pa","Cambuslang","25 November","Support Practitioner - Rutherglen and Cambuslang Would you like a fantastic new career in Health and Social Care? Why not start your day hoping to make a difference and end your day knowing you did..."
"Senior Procurement Category Specialist","Up to £37000 per annum","Glasgow","25 November","Senior Procurement Category Specialist Glasgow c.£37,000 12 month FTC Badenoch+Clark is delighted to have partnered with one of Scotland's leading public sector organisations, to appoint an experienced procurement..."
"Paralegal - Private Client","Excellent & Benefits","Edinburgh","25 November","FPSG are recruiting an experienced Paralegal - Private Client for our leading client located in Edinburgh. Working part of a successful and established team, this is a full time, permanent opportunity to start ASAP..."
"Legal Secretary - Litigation","Excellent & Benefits","Glasgow","25 November","FPSG are recruiting an experienced Legal Secretary for a leading firm located in Glasgow City Centre. Working part of a successful and established team, this is a full time, permanent opportunity to start ASAP offering a very..."
"Health & Wellbeing Co-ordinator","£18,840-£21,488","Edinburgh","25 November","Loretto Care, part of Wheatley Group, is a leading social care provider. The people we work for are equal partners in designing and reviewing their care and support. We have an excellent career opportunity for: Health &..."
"SAP Systems Engineer","","Aberdeen","25 November","Our client is currently recruiting for the position of SAP Systems Engineer, based in Aberdeen. Responsibilities will include: Own, review and manage processes and procedures for the utilisation and application of SAP R3 PM/MM..."
"Desktop Support Analyst","£23000.00 - £26000.00 per annum","Edinburgh","25 November","Support Analyst - Up to £26k - Edinburgh Your new company Your new company is a leading managed services consultancy based in the centre of Edinburgh who have an opportunity for a Support Analyst to join their busy..."
"Credit Controller","Up to £20000 per annum","Glasgow","25 November","Page Personnel are delighted to be partnered with our well-respected client in recruiting a Credit Controller. This role will be extremely exciting and rewarding whilst taking responsibilities for efficient day-to-day accounting..."
"Project Manager","£40000 - £60000 per annum","Edinburgh","25 November","Project Manager - Change Manager - Investment Banking - City Centre - Business Analyst - Funds - Fund accounting - asset management Role: Project Manager Location: Edinburgh Salary: Up to £60,000 Benefits: Competitive..."
"Financial Adviser","£60000.00 - £75000.00 per annum","Glasgow","25 November","Financial Adviser required for forward-thinking Financial Planning company in central Glasgow Your new company Are you a professional forward-thinker looking for a new opportunity? Due to an exciting time of growth this..."
"Junior/Intermediate Structural Engineer","£24000 to £28000 per annum","Glasgow","25 November","We are delighted to be working with a well-respected Design Consultancy as they look for a Junior/Intermediate Structural Design Engineer to join their team in Glasgow. We have placed several people with this firm in the past..."
"Project Manager","Excellent Benefits","Edinburgh","25 November","An exceptional opportunity has become available with our Edinburgh based client for a Project Manager to join a global client of ours who are going through considerable growth. The successful candidate will be hired to help..."
"Trainee IFA Support","up to £24,000","Edinburgh","25 November","Lusona Financial Services are keen to speak with experienced financial services administrators in Edinburgh, on behalf of a well-respected IFA (Independent Financial Advice) business..."
"IT Support Engineer Role - Scotland","£100 - £120 per day","Dundee","25 November","IT Support Engineer Role - Dundee Day Rate - £120 Duration - 3 Months Initially Location - Dundee IR35 - INSIDE (Must Use an Umbrella Company) A Public sector client of ours is currently looking for an IT Support..."
"Property Manager","£Salary Guide: £22,000","Edinburgh","25 November","Property Manager EDINBURGH Salary Guide: £22,000 Are you currently working within Residential Letting/Property Management? Our client an Edinburgh based Letting Agency are looking to recruit an extremely well..."
"Senior Python Developer - New Team - Remote Working","£450 - £500 per day","Edinburgh","25 November","Senior Python Developer - New Team - Remote Working Python Developer urgently required by our client based in the city centre of Edinburgh, on 12-month contract with flexible and remote working on offer..."
"Sales Advisor","£18k basic + uncapped commission","Glasgow","25 November","Pertemps specialised division are delighted to be partnered with a forward-thinking Financial Services Broker to appoint an Insurance Sales Advisor for their Glasgow office. They are looking for bright and ambitious graduates to..."
"PCV Mechanic (Backshift)","Excellent rates of pay up to £14.65 per hour depending on experience and skills. Plus Benefits Package.","Renfrew","25 November","We're looking to recruit a Backshift PCV/HGV Mechanic for Inchinnan Depot, to carry out a wide range of repairs on Company vehicles. The role is an exciting opportunity to join a forward thinking organisation and a great..."
"Interim Senior Financial Accountant","£45,000 - £55,000","Glasgow","25 November","Interim Senior Financial Accountant job with Financial Services client based south of Glasgow for a 6-month period. Reporting to the Financial Controller you will be responsible for: Preparation of monthly management accounts..."
"Multi-Skilled Engineer","£DOE + Benefits","Edinburgh","25 November","Multi-Skilled Engineer - Edinburgh - Salary DOE + Benefits We're looking to have a chat with experienced multi-skilled engineers to discuss joining a successful manufacturing business in Edinburgh..."
"Paraplanner","up to £40,000","Edinburgh","25 November","Lusona Financial Services have been retained by a well-regarded firm of chartered financial planners, with an office in Edinburgh. They have gone through a recent growth phase which has seen them take on a couple of new financial..."
"SQL Developer","£32000 - £42000 per annum","Glasgow","25 November","I am currently looking for a SQL Developer to join a global brand in Glasgow City Centre. Working across the business you will be work within the BI team and be heavily involved in the development and maintenance of the..."
"Quantity Surveyor","Car / Allowance + Bens","North Lanarkshire","25 November","Would you like to work for a FTE 250, 5 Star House Builder? Do you value working environment, culture and personal development? Are you a Qualified Quantity Surveyor with at least 2 years post graduation experience gained within..."
"Building Surveyor","£30,000 - £45,000 DOE","Glasgow","25 November","Peace Recruitment is working with a globally successful real estate consultancy, assisting in their search for a professional Building Surveyor to join their busy team in Glasgow ..."
"HR Generalist","up to £25k doe","Fife","25 November","Lusona Consultancy is delighted to be working with a market-leading organisation in Fife. This global business is seeking an experienced HR Generalist to join the business on a 6month contract to support with a UK relocation and..."
"Senior Chartered Quantity Surveyors","£48,000 - £58,000","Glasgow","25 November","Peace Recruitment's client is a globally recognised and well respected multi-disciplinary construction consultancy, they currently going through a very exciting growth period within both their Edinburgh and Glasgow offices,..."
"Experienced IFA Support","up to £26,500","Edinburgh","25 November","Lusona Financial Services are looking for an experienced financial planning support administrator, to join a modern, forward-looking financial advice business in Edinburgh. They are financially strong and would be a good home for..."
"Quantity Surveyor","£28,000 - £32,000","Edinburgh","25 November","Peace Recruitment is working with a key client to recruit a post graduate Intermediate Quantity Surveyor on a permanent basis for their expanding city centre office in Edinburgh. You should ideally have experience within a PQS..."
"Residential Child Care Worker","£19,500 - £23,000 p.a (excluding additional sleepover payments)","Dollar","25 November","Residential Childcare Worker Location: Dollar Salary: £19,500 - £23,000 (based on 38.5 hour week and excluding additional sleepover payments) Are you looking for an opportunity to truly make a difference to..."
"Credit Controller","Up to £21000.00 per annum","Glasgow","25 November","Permanent Credit Controller, £21,000 per annum, Glasgow City Centre (Parking) Your new company Based in Glasgow City Centre, my client, working exclusively with Hays, is seeking a credit controller to join their..."
"Pensions Administrator (In-house)","£20,000 to £28,000 plus bonus and benefits","Glasgow","25 November","Experienced Pensions Administrator £20,000 to £28,000 plus bonus and benefits Excellent opportunity to join a well-known in-house pension scheme based in Glasgow..."
"Support Co-ordinators","£18,454 per annum, pro rata","West Lothian","25 November","We are looking for enthusiastic and caring individuals who want to make a positive change to people's lives. Our dedicated staff are committed to making a difference to the lives of individuals by enabling them to make a..."
"Senior Project Manager (Client Side)","£50,000 - £58,000","Edinburgh","25 November","Peace Recruitment have been exclusively retained on a very exciting and unique opportunity within a client side organisation based in the West of Edinburgh. This particular position has arisen due to expansion within the..."
"Customer Sales Advisor","Up to £8.95 per hour","Edinburgh","25 November","In partnership with an international global organisation, Search Consultancy are recruiting for Customer Service Advisors on behalf of their client for their Edinburgh Gyle site. Are you an experienced in CUSTOMER SERVICE? Are..."
"Associate/Director Project Manager","£65,000 - 75,000","Glasgow","25 November","''A global, privately owned organisation spread across multiple offices worldwide''. Peace Recruitment is assisting a key client, an outstanding multi-disciplinary consultancy, in their search for an..."
"Project/Senior Project Manager","£40,000 - £55,000","Edinburgh","25 November","Peace Recruitment are delighted to be assisting a relatively new, but very exciting organisation to the Edinburgh property market in their search to bring onboard a Project/Senior Project Manager..."
"Senior Electrical Engineer","£50,000","Glasgow","25 November","Peace Recruitment is excited to be working EXCLUSVELY on a rare opportunity to join a rapidly growing engineering firm in the heart of Glasgow. If you want to be part of the continued and future success of a dynamic, forward..."
"Senior Mechanical Engineer","£38,000 - £48,000","Motherwell","25 November","Peace Recruitment is excited to be working with a well-known and expanding engineering consultancy, assisting in their search for an experienced Senior Mechanical Engineer. This position has become available due to a healthy..."
"Bank Support Practitioner","£9.00 per hour","Alford","25 November","Bank Support Practitioner Would you like a fantastic new career in Health and Social Care? Why not start your day hoping to make a difference and end your day knowing you did. Here at The Richmond Fellowship Scotland, we make..."
"Manufacturing Manager (Nights)","Market related","South Lanarkshire","25 November","Brightwork have a fantastic opportunity for a Nightshift Manufacturing Manager to join their client's successful manufacturing company based in South Lanarkshire. The right candidate will lead the Operations Area..."
"Accountant","£40000.00 - £45000.00 per annum","Aberdeen","25 November","Opportunity for Permanent Accountant, £40,000-45,000 per annum, along with development opportunities Your new company Hays Senior Finance are working with a large energy company in their recruitment for a key..."
"Assistant Management Accountant","plus Study Support","Dundee","25 November","Search Consultancy have been retained by one of our key clients to source a permanent Assistant Management Accountant that is keen to complete their professional qualifications and join a successful, international SME business in..."
"Credit Controller","£18000 - £20000 per annum + Additional Benefits","Glasgow","25 November","Reed Accountancy has a fantastic opportunity for a Credit Controller to join a market leading organisation based in the heart of Glasgow City Centre. You must be a confident communicator, able to liaise with stakeholders at all..."
"Lecturer - Learner Development","£33,500 - £41,526 per annum pro rata","Greenock","25 November","External Advert Reference: WCSR0000547 Lecturer in Learner Development (permanent 11.5 class contact/17.5 contracted hours/0.5 FTE) (based at Greenock campus) Salary - £33,500 - £41,526 pa (pro rata) You..."
"Senior Paraplanner","up to £45,000","Edinburgh","25 November","Lusona Financial Services have been retained by an Edinburgh based firm of chartered financial planners, who are remodeling their technical and support team. The company has an excellent reputation and a robust business plan,..."
"Sharepoint Developer","£Attractive + Benefits","Glasgow","25 November","MK Recruit is exclusively recruiting for our client who is an expanding IT Support company. Due to continued growth and success they are looking to recruit a SharePoint Developer to join their ever-growing team based in Glasgow..."
"Junior SharePoint Developer","£Attractive + Benefits","Glasgow","25 November","MK Recruit is exclusively recruiting for our client who is an expanding IT Support company based in Glasgow. Due to continued growth and success they are looking to recruit a Junior SharePoint Developer to join their new..."
"Senior Engineer- Noise & Vibration","Not specified","Renfrew","25 November","NRL's large Engineering client, is looking to recruit a Senior Engineer- Noise & Vibration on contract basis in Renfrew. About the role: - Perform investigations into pipework & structural related vibration problems, including..."
"Trainee Actuarial Consultant","£35,000 to £40,000 plus bonus and benefits","Edinburgh","25 November","Actuarial Assistant £35,000 to £40,000 plus bonus and benefits JohnstonGreer are currently working with the UK's fastest growing pensions consultancy on a number of Actuarial Analyst roles..."
"Junior Actuarial Analyst","£25,000 to £35,000 plus bonus and benefits","Edinburgh","25 November","Actuarial Assistant £25,000 to £35,000 plus bonus and benefits JohnstonGreer are currently working with the UK's fastest growing pensions consultancy on a number of Actuarial Analyst roles..."
"Group Risk Administrator","£24,000 to £28,000 plus benefits","Falkirk (Town)","25 November","Group Risk Administrator £24,000 to £28,000 plus benefits Account Executive required by this distinguished Employee Benefits Consultancy. This consultancy provides advice across a range of corporate..."
"Lead Business Analyst","£34,045 - £40,055","Haddington","25 November","The Improvement Service (IS) is a publicly funded company limited by guarantee, with a total annual budget in the region of £8 million. We exist to support councils and their partners to improve the health, quality of life..."
"Mechanical Engineer","","Greenock","25 November","Building Service Engineer - Mechanical Inverclyde Great package on offer I am excited to be working again on this role with a Global manufacturing organisation..."
"Head Of Business Development","£65-70k+","Bathgate","25 November","Head of Business Development Our client a major player in the Scottish Social Housing Regeneration market have an opening for a Head of Business Development based from their Bathgate Headquarters..."
"Assistant Site Manager","Up to £43,000 + bonus","Edinburgh","25 November","A hugely successful private housebuilder have positions available for experienced Assistant Site Managers. This company have an excellent reputation in the UK construction market and offer you a fantastic career if you are..."
"Sharepoint Consultant","£450 - £500 per annum","Edinburgh","25 November","Harvey Nash are now recruiting for a Sharepoint Consultant for a six month contract to be based in Edinburgh (please note, candidates must be flexible to work in Aberdeen at our clients offices for the first two weeks)..."
"IT Systems Developer","£35,000 & Excellent benefits","Edinburgh","25 November","Nine Twenty Technology are delighted to be recruiting a IT Systems Developer for their client in Edinburgh city centre. The IT Systems Developer role has been created due to the emergence of new services that our client is..."
"Python Developer","£35,000 & Excellent benefits","Edinburgh","25 November","Nine Twenty Technology are delighted to be recruiting a Python Developer for their client in Edinburgh city centre. The Python Developer role has been created due to the emergence of new services that our client is developing..."
"Semi Skilled Trailer Mechanic","£Competitive","Aberdeen","25 November","We currently have a vacancy for a Semi-skilled / Trailer Mechanic at our main workshop in Dyce to work either on a dayshift / back-shift rota or full-time set shift pattern. This role represents an opportunity to join one of the..."
"Production Operatives - *Immediate Start*","","Aberdeen","25 November","Production Operatives Search Consultancy have immediate requirements for Production Operatives for an on-going temporary contract for work in Aberdeenshire. We are looking for applicants who have experience working in a fast..."
"Project Manager","Circa £30,000, poss negotiable + company car or car allowance","Edinburgh","25 November","Project Manager Circa £30,000, poss negotiable + company car or car allowance We are recruiting for an excellent Project Manager role with our technology client based in Edinburgh..."
